#,Address,Source,Live Registers,Sampling Data (All),Sampling Data (Not Issued),Instructions Executed,Predicated-On Thread Instructions Executed,Memory Address Space,Memory Access Operation,Memory Access Size,Memory L1 Transactions Global,Memory L1 Transactions Shared,Memory L2 Transactions Global,stall_barrier,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued)
43,00000013 2fa7d6a0,"     FADD.FTZ R3, R6, R3 ",14,24,5,327680,327680,,,,,,,0,1,0,0,0,0,0,0,0,0,0,3,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
44,00000013 2fa7d6b0,"     FFMA.FTZ R4, R6, R13, R4 ",14,35,8,327680,327680,,,,,,,0,2,0,0,0,0,0,0,0,0,0,4,15,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
45,00000013 2fa7d6c0,@!P0 BRA 0x132fa7d5e0 ,12,9,0,327680,0,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,00000013 2fa7d6d0,     BSYNC B0 ,8,196,97,655360,10485760,,,,,,,0,4,0,0,0,0,0,0,0,2,65,1,14,0,0,0,110,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,57
47,00000013 2fa7d6e0,"     IADD3 R7, R7, c[0x0][0x10], RZ ",8,297,150,327680,10485760,,,,,,,0,1,0,0,0,0,1,0,0,1,179,0,22,0,0,0,93,0,0,0,0,0,0,0,0,0,1,105,0,0,0,0,0,44
48,00000013 2fa7d6f0,"     ISETP.GE.AND P0, PT, R7, c[0x0][0x190], PT ",8,80,28,327680,10485760,,,,,,,0,8,0,0,0,0,2,0,0,0,0,9,14,0,0,0,47,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
49,00000013 2fa7d700,@!P0 BRA 0x132fa7d4f0 ,8,176,96,327680,10354688,,,,,,,0,2,0,0,0,0,0,0,0,0,0,10,3,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
50,00000013 2fa7d710,"     SHFL.DOWN PT, R5, R4, 0x10, 0x1f ",7,49,24,4096,131072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
51,00000013 2fa7d720,"     ISETP.NE.AND P0, PT, R2, RZ, PT ",7,0,0,4096,131072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,00000013 2fa7d730,"     ISETP.NE.AND P1, PT, R14, RZ, PT ",7,0,0,4096,131072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,00000013 2fa7d740,"     SHFL.DOWN PT, R6, R3, 0x10, 0x1f ",8,0,0,4096,131072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,00000013 2fa7d750,"     FADD.FTZ R5, R5, R4 ",8,7,7,4096,131072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
55,00000013 2fa7d760,"     FADD.FTZ R6, R6, R3 ",7,1,1,4096,131072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
